T,r_d,r_f,10_D_BF,25_D_BF,ATM,25_D_RR,10_D_RR,S_0
1,0.4074,0.0424,0.5125,0.1713,9.15,-0.6825,-1.2175,1.257
2,0.5148,0.1061,0.6955,0.2175,9.325,-1.1825,-2.115,
3,0.6619,0.2344,0.9375,0.2813,9.55,-1.5025,-2.73,
6,0.9526,0.4683,1.25,0.36,10.125,-1.92,-3.5525,
9,1.1923,1.616,1.4168,0.42,10.675,-2.0975,-3.935,
12,1.1607,0.6352,1.6235,0.4675,11.175,-2.25,-4.215,
24,0.5982,0.0291,1.5188,0.4425,11.675,-2.315,-4.3975,
36,0.7174,0.0291,1.2815,0.3688,11.675,-2.3,-4.365,
48,0.7174,0.0291,1.19,0.3565,12.1,-2.375,-4.5,
60,0.7174,0.0291,1.2125,0.375,12.2,-2.425,-4.6,
